,Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Day,Month,Year,Temperature Category,Fuel Category
14,1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,Friday,May,2010,From 60 to 80,2.4 to 3.4
15,1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,Friday,May,2010,From 60 to 80,2.4 to 3.4
16,1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,Friday,May,2010,> 80,2.4 to 3.4
17,1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,Friday,Jun,2010,> 80,2.4 to 3.4
18,1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,Friday,Jun,2010,> 80,2.4 to 3.4
19,1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,Friday,Jun,2010,> 80,2.4 to 3.4
20,1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,Friday,Jun,2010,> 80,2.4 to 3.4
21,1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,Friday,Jul,2010,> 80,2.4 to 3.4
22,1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,Friday,Jul,2010,> 80,2.4 to 3.4
23,1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,Friday,Jul,2010,> 80,2.4 to 3.4
24,1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,Friday,Jul,2010,> 80,2.4 to 3.4
25,1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,Friday,Jul,2010,> 80,2.4 to 3.4
26,1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,Friday,Aug,2010,> 80,2.4 to 3.4
27,1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,Friday,Aug,2010,> 80,2.4 to 3.4
28,1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,Friday,Aug,2010,> 80,2.4 to 3.4
29,1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,Friday,Aug,2010,> 80,2.4 to 3.4
30,1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,Friday,Sep,2010,> 80,2.4 to 3.4
31,1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,Friday,Sep,2010,From 60 to 80,2.4 to 3.4
32,1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,Friday,Sep,2010,> 80,2.4 to 3.4
33,1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,Friday,Sep,2010,> 80,2.4 to 3.4
34,1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,Friday,Oct,2010,From 60 to 80,2.4 to 3.4
35,1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,Friday,Oct,2010,From 60 to 80,2.4 to 3.4
36,1,2010-10-15,1459409.1,0,67.18,,211.8137436,7.838,Friday,Oct,2010,From 60 to 80,2.4 to 3.4
37,1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,Friday,Oct,2010,From 60 to 80,2.4 to 3.4
38,1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,Friday,Oct,2010,From 60 to 80,2.4 to 3.4
39,1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,Friday,Nov,2010,From 40 to 60,2.4 to 3.4
40,1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,Friday,Nov,2010,From 40 to 60,2.4 to 3.4
41,1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,Friday,Nov,2010,From 40 to 60,2.4 to 3.4
42,1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,Friday,Nov,2010,From 60 to 80,2.4 to 3.4
43,1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,Friday,Dec,2010,From 40 to 60,2.4 to 3.4
44,1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,Friday,Dec,2010,From 40 to 60,2.4 to 3.4
45,1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,Friday,Dec,2010,From 40 to 60,2.4 to 3.4
46,1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,Friday,Dec,2010,From 40 to 60,2.4 to 3.4
47,1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,Friday,Dec,2010,From 40 to 60,2.4 to 3.4
48,1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,Friday,Jan,2011,From 40 to 60,2.4 to 3.4
49,1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,Friday,Jan,2011,From 20 to 40,2.4 to 3.4
50,1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,Friday,Jan,2011,From 40 to 60,2.4 to 3.4
51,1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,Friday,Jan,2011,From 40 to 60,2.4 to 3.4
52,1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,Friday,Feb,2011,From 40 to 60,2.4 to 3.4
53,1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,Friday,Feb,2011,From 20 to 40,2.4 to 3.4
54,1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,Friday,Feb,2011,From 40 to 60,2.4 to 3.4
55,1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,Friday,Feb,2011,From 60 to 80,2.4 to 3.4
56,1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,Friday,Mar,2011,From 40 to 60,2.4 to 3.4
57,1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,Friday,Mar,2011,From 40 to 60,3.4 to 4.5
58,1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,Friday,Mar,2011,From 60 to 80,3.4 to 4.5
59,1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,Friday,Mar,2011,From 60 to 80,3.4 to 4.5
60,1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,Friday,Apr,2011,From 40 to 60,3.4 to 4.5
61,1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,Friday,Apr,2011,From 60 to 80,3.4 to 4.5
62,1,2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,Friday,Apr,2011,From 60 to 80,3.4 to 4.5
63,1,2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,Friday,Apr,2011,From 60 to 80,3.4 to 4.5
64,1,2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,Friday,Apr,2011,From 60 to 80,3.4 to 4.5
65,1,2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,Friday,May,2011,From 60 to 80,3.4 to 4.5
66,1,2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,Friday,May,2011,From 60 to 80,3.4 to 4.5
67,1,2011-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,Friday,May,2011,From 60 to 80,3.4 to 4.5
68,1,2011-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,Friday,May,2011,From 60 to 80,3.4 to 4.5
69,1,2011-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,Friday,Jun,2011,> 80,3.4 to 4.5
70,1,2011-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,Friday,Jun,2011,> 80,3.4 to 4.5
71,1,2011-06-17,1532114.86,0,86.41,3.637,214.9980596,7.682,Friday,Jun,2011,> 80,3.4 to 4.5
72,1,2011-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,Friday,Jun,2011,> 80,3.4 to 4.5
73,1,2011-07-01,1488538.09,0,85.55,,215.1841368,7.962,Friday,Jul,2011,> 80,3.4 to 4.5
74,1,2011-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962,Friday,Jul,2011,> 80,3.4 to 4.5
75,1,2011-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962,Friday,Jul,2011,> 80,3.4 to 4.5
76,1,2011-07-22,1396926.82,0,85.77,3.651,215.4222784,7.962,Friday,Jul,2011,> 80,3.4 to 4.5
77,1,2011-07-29,1352219.79,0,86.83,3.682,215.4834482,7.962,Friday,Jul,2011,> 80,3.4 to 4.5
78,1,2011-08-05,1624383.75,0,91.65,3.684,215.544618,7.962,Friday,Aug,2011,> 80,3.4 to 4.5
79,1,2011-08-12,1525147.09,0,90.76,3.638,215.6057878,7.962,Friday,Aug,2011,> 80,3.4 to 4.5
80,1,2011-08-19,1530761.43,0,89.94,3.554,215.6693107,7.962,Friday,Aug,2011,> 80,3.4 to 4.5
81,1,2011-08-26,1464693.46,0,87.96,3.523,215.7332258,7.962,Friday,Aug,2011,> 80,3.4 to 4.5
82,1,2011-09-02,1550229.22,0,87.83,3.533,215.7971409,7.962,Friday,Sep,2011,> 80,3.4 to 4.5
83,1,2011-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,Friday,Sep,2011,From 60 to 80,3.4 to 4.5
84,1,2011-09-16,1514259.78,0,79.94,3.526,216.0410526,7.962,Friday,Sep,2011,From 60 to 80,3.4 to 4.5
85,1,2011-09-23,1380020.27,0,75.8,3.467,216.3758246,7.962,Friday,Sep,2011,From 60 to 80,3.4 to 4.5
86,1,2011-09-30,1394561.83,0,79.69,3.355,216.7105965,7.962,Friday,Sep,2011,From 60 to 80,2.4 to 3.4
87,1,2011-10-07,1630989.95,0,69.31,3.285,217.0453684,7.866,Friday,Oct,2011,From 60 to 80,2.4 to 3.4
88,1,2011-10-14,1493525.93,0,71.74,3.274,217.3552733,7.866,Friday,Oct,2011,From 60 to 80,2.4 to 3.4
89,1,2011-10-21,1502562.78,0,63.71,3.353,217.5159762,7.866,Friday,Oct,2011,From 60 to 80,2.4 to 3.4
90,1,2011-10-28,1445249.09,0,66.57,3.372,217.6766791,7.866,Friday,Oct,2011,From 60 to 80,2.4 to 3.4
91,1,2011-11-04,1697229.58,0,54.98,3.332,217.837382,7.866,Friday,Nov,2011,From 40 to 60,2.4 to 3.4
92,1,2011-11-11,1594938.89,0,59.11,3.297,217.9980849,7.866,Friday,Nov,2011,From 40 to 60,2.4 to 3.4
93,1,2011-11-18,1539483.7,0,62.25,3.308,218.2205088,7.866,Friday,Nov,2011,From 60 to 80,2.4 to 3.4
94,1,2011-11-25,2033320.66,1,60.14,3.236,218.4676211,7.866,Friday,Nov,2011,From 60 to 80,2.4 to 3.4
95,1,2011-12-02,1584083.95,0,48.91,3.172,218.7147333,7.866,Friday,Dec,2011,From 40 to 60,2.4 to 3.4
96,1,2011-12-09,1799682.38,0,43.93,3.158,218.9618456,7.866,Friday,Dec,2011,From 40 to 60,2.4 to 3.4
97,1,2011-12-16,1881176.67,0,51.63,3.159,219.1794533,7.866,Friday,Dec,2011,From 40 to 60,2.4 to 3.4
98,1,2011-12-23,2270188.99,0,47.96,3.112,219.3577216,7.866,Friday,Dec,2011,From 40 to 60,2.4 to 3.4
99,1,2011-12-30,1497462.72,1,44.55,3.129,219.5359898,7.866,Friday,Dec,2011,From 40 to 60,2.4 to 3.4
100,1,2012-01-06,1550369.92,0,49.01,3.157,219.7142581,7.348,Friday,Jan,2012,From 40 to 60,2.4 to 3.4
101,1,2012-01-13,1459601.17,0,48.53,3.261,219.8925263,7.348,Friday,Jan,2012,From 40 to 60,2.4 to 3.4
102,1,2012-01-20,1394393.84,0,54.11,3.268,219.9856893,7.348,Friday,Jan,2012,From 40 to 60,2.4 to 3.4
103,1,2012-01-27,1319325.59,0,54.26,3.29,220.0788523,7.348,Friday,Jan,2012,From 40 to 60,2.4 to 3.4
104,1,2012-02-03,1636339.65,0,56.55,3.36,220.1720153,7.348,Friday,Feb,2012,From 40 to 60,2.4 to 3.4
105,1,2012-02-10,1802477.43,1,48.02,3.409,220.2651783,7.348,Friday,Feb,2012,From 40 to 60,3.4 to 4.5
106,1,2012-02-17,1819870.0,0,45.32,3.51,220.4257586,7.348,Friday,Feb,2012,From 40 to 60,3.4 to 4.5
107,1,2012-02-24,1539387.83,0,57.25,3.555,220.636902,7.348,Friday,Feb,2012,From 40 to 60,3.4 to 4.5
108,1,2012-03-02,1688420.76,0,60.96,3.63,220.8480454,7.348,Friday,Mar,2012,From 60 to 80,3.4 to 4.5
109,1,2012-03-09,1675431.16,0,58.76,3.669,221.0591887,7.348,Friday,Mar,2012,From 40 to 60,3.4 to 4.5
110,1,2012-03-16,1677472.78,0,64.74,3.734,221.2118132,7.348,Friday,Mar,2012,From 60 to 80,3.4 to 4.5
111,1,2012-03-23,1511068.07,0,65.93,3.787,221.2864126,7.348,Friday,Mar,2012,From 60 to 80,3.4 to 4.5
112,1,2012-03-30,1649604.63,0,67.61,3.845,221.3610119,7.348,Friday,Mar,2012,From 60 to 80,3.4 to 4.5
113,1,2012-04-06,1899676.88,0,70.43,3.891,221.4356112,7.143,Friday,Apr,2012,From 60 to 80,3.4 to 4.5
114,1,2012-04-13,1621031.7,0,69.07,,221.5102105,7.143,Friday,Apr,2012,From 60 to 80,3.4 to 4.5
115,1,2012-04-20,1521577.87,0,66.76,3.877,221.5640737,7.143,Friday,Apr,2012,From 60 to 80,3.4 to 4.5
116,1,2012-04-27,1468928.37,0,67.23,3.814,221.6179368,7.143,Friday,Apr,2012,From 60 to 80,3.4 to 4.5
117,1,2012-05-04,1684519.99,0,75.55,3.749,221.6718,7.143,Friday,May,2012,From 60 to 80,3.4 to 4.5
118,1,2012-05-11,1611096.05,0,73.77,3.688,221.7256632,7.143,Friday,May,2012,From 60 to 80,3.4 to 4.5
119,1,2012-05-18,1595901.87,0,70.33,,221.742674,7.143,Friday,May,2012,From 60 to 80,3.4 to 4.5
120,1,2012-05-25,1555444.55,0,77.22,3.561,221.744944,7.143,Friday,May,2012,From 60 to 80,3.4 to 4.5
121,1,2012-06-01,1624477.58,0,77.95,3.501,221.7472139,7.143,Friday,Jun,2012,From 60 to 80,3.4 to 4.5
122,1,2012-06-08,1697230.96,0,78.3,3.452,221.7494839,7.143,Friday,Jun,2012,From 60 to 80,3.4 to 4.5
123,1,2012-06-15,1630607.0,0,79.35,3.393,221.7626421,7.143,Friday,Jun,2012,From 60 to 80,2.4 to 3.4
124,1,2012-06-22,1527845.81,0,78.39,3.346,221.8030211,7.143,Friday,Jun,2012,From 60 to 80,2.4 to 3.4
125,1,2012-06-29,1540421.49,0,84.88,3.286,221.8434,7.143,Friday,Jun,2012,> 80,2.4 to 3.4
126,1,2012-07-06,1769854.16,0,81.57,3.227,221.8837789,6.908,Friday,Jul,2012,> 80,2.4 to 3.4
127,1,2012-07-13,1527014.04,0,77.12,3.256,221.9241579,6.908,Friday,Jul,2012,From 60 to 80,2.4 to 3.4
128,1,2012-07-20,1497954.76,0,80.42,3.311,221.9327267,6.908,Friday,Jul,2012,> 80,2.4 to 3.4
129,1,2012-07-27,1439123.71,0,82.66,3.407,221.9412954,6.908,Friday,Jul,2012,> 80,3.4 to 4.5
130,1,2012-08-03,1631135.79,0,86.11,3.417,221.9498642,6.908,Friday,Aug,2012,> 80,3.4 to 4.5
131,1,2012-08-10,1592409.97,0,85.05,3.494,221.9584329,6.908,Friday,Aug,2012,> 80,3.4 to 4.5
132,1,2012-08-17,1597868.05,0,84.85,3.571,222.0384109,6.908,Friday,Aug,2012,> 80,3.4 to 4.5
133,1,2012-08-24,1494122.38,0,77.66,3.62,222.1719457,6.908,Friday,Aug,2012,From 60 to 80,3.4 to 4.5
134,1,2012-08-31,1582083.4,0,80.49,,222.3054805,6.908,Friday,Aug,2012,> 80,3.4 to 4.5
135,1,2012-09-07,1661767.33,1,83.96,3.73,222.4390153,6.908,Friday,Sep,2012,> 80,3.4 to 4.5
136,1,2012-09-14,1517428.87,0,74.97,3.717,222.5820193,6.908,Friday,Sep,2012,From 60 to 80,3.4 to 4.5
137,1,2012-09-21,1506126.06,0,69.87,3.721,222.7818386,6.908,Friday,Sep,2012,From 60 to 80,3.4 to 4.5
138,1,2012-09-28,1437059.26,0,76.08,3.666,222.9816579,6.908,Friday,Sep,2012,From 60 to 80,3.4 to 4.5
139,1,2012-10-05,1670785.97,0,68.55,3.617,223.1814772,6.573,Friday,Oct,2012,From 60 to 80,3.4 to 4.5
140,1,2012-10-12,1573072.81,0,62.99,3.601,223.3812965,6.573,Friday,Oct,2012,From 60 to 80,3.4 to 4.5
141,1,2012-10-19,1508068.77,0,67.97,,223.4257233,6.573,Friday,Oct,2012,From 60 to 80,3.4 to 4.5
142,1,2012-10-26,1493659.74,0,69.16,3.506,223.4442513,6.573,Friday,Oct,2012,From 60 to 80,3.4 to 4.5
143,2,2010-02-05,2136989.46,0,40.19,,210.7526053,8.324,Friday,Feb,2010,From 40 to 60,2.4 to 3.4
144,2,2010-02-12,2137809.5,1,38.49,,210.8979935,8.324,Friday,Feb,2010,From 20 to 40,2.4 to 3.4
145,2,2010-02-19,2124451.54,0,39.69,,210.9451605,8.324,Friday,Feb,2010,From 20 to 40,2.4 to 3.4
146,2,2010-02-26,1865097.27,0,46.1,,210.9759573,8.324,Friday,Feb,2010,From 40 to 60,2.4 to 3.4
147,2,2010-03-05,1991013.13,0,47.17,,211.0067542,8.324,Friday,Mar,2010,From 40 to 60,2.4 to 3.4
148,2,2010-03-12,1990483.78,0,57.56,,211.037551,8.324,Friday,Mar,2010,From 40 to 60,2.4 to 3.4
149,2,2010-03-19,1946070.88,0,54.52,,210.8733316,8.324,Friday,Mar,2010,From 40 to 60,2.4 to 3.4
150,2,2010-03-26,1750197.81,0,51.26,,210.6766095,8.324,Friday,Mar,2010,From 40 to 60,2.4 to 3.4
151,2,2010-04-02,2066187.72,0,63.27,,210.4798874,8.2,Friday,Apr,2010,From 60 to 80,2.4 to 3.4
152,2,2010-04-09,1954689.21,0,65.41,,210.2831653,8.2,Friday,Apr,2010,From 60 to 80,2.4 to 3.4
153,2,2010-04-16,1874957.94,0,68.07,,210.1495463,8.2,Friday,Apr,2010,From 60 to 80,2.4 to 3.4
154,2,2010-04-23,1821990.93,0,65.11,,210.1000648,8.2,Friday,Apr,2010,From 60 to 80,2.4 to 3.4
155,2,2010-04-30,1802450.29,0,66.98,,210.0505833,8.2,Friday,Apr,2010,From 60 to 80,2.4 to 3.4
156,2,2010-05-07,2042581.71,0,71.28,,210.0011018,8.2,Friday,May,2010,From 60 to 80,2.4 to 3.4
157,2,2010-05-14,1880752.36,0,73.31,,209.9984585,8.2,Friday,May,2010,From 60 to 80,2.4 to 3.4
158,2,2010-05-21,1896937.1,0,74.83,,210.2768443,8.2,Friday,May,2010,From 60 to 80,2.4 to 3.4
159,2,2010-05-28,1957113.89,0,81.13,,210.5552301,8.2,Friday,May,2010,> 80,2.4 to 3.4
160,2,2010-06-04,2102539.93,0,81.81,,210.833616,8.2,Friday,Jun,2010,> 80,2.4 to 3.4
161,2,2010-06-11,2025538.76,0,83.4,,211.1120018,8.2,Friday,Jun,2010,> 80,2.4 to 3.4
162,2,2010-06-18,2001636.96,0,85.81,,211.1096543,8.2,Friday,Jun,2010,> 80,2.4 to 3.4
163,2,2010-06-25,1939927.09,0,86.26,,210.9950134,8.2,Friday,Jun,2010,> 80,2.4 to 3.4
164,2,2010-07-02,2003940.64,0,82.74,,210.8803726,8.099,Friday,Jul,2010,> 80,2.4 to 3.4
165,2,2010-07-09,1880902.62,0,82.59,,210.7657317,8.099,Friday,Jul,2010,> 80,2.4 to 3.4
166,2,2010-07-16,1845879.79,0,85.32,,210.7577954,8.099,Friday,Jul,2010,> 80,2.4 to 3.4
167,2,2010-07-23,1781717.71,0,87.66,,210.8921319,8.099,Friday,Jul,2010,> 80,2.4 to 3.4
168,2,2010-07-30,1804246.16,0,83.49,,211.0264684,8.099,Friday,Jul,2010,> 80,2.4 to 3.4
169,2,2010-08-06,1991909.98,0,89.53,,211.1608049,8.099,Friday,Aug,2010,> 80,2.4 to 3.4
170,2,2010-08-13,1895601.05,0,89.05,,211.2951413,8.099,Friday,Aug,2010,> 80,2.4 to 3.4
171,2,2010-08-20,1964335.23,0,88.7,,211.2596586,8.099,Friday,Aug,2010,> 80,2.4 to 3.4
172,2,2010-08-27,1863840.49,0,87.12,,211.2241759,8.099,Friday,Aug,2010,> 80,2.4 to 3.4
173,2,2010-09-03,1904608.09,0,81.83,,211.1886931,8.099,Friday,Sep,2010,> 80,2.4 to 3.4
174,2,2010-09-10,1839128.83,1,79.09,,211.1532104,8.099,Friday,Sep,2010,From 60 to 80,2.4 to 3.4
175,2,2010-09-17,1793903.6,0,82.05,,211.1806415,8.099,Friday,Sep,2010,> 80,2.4 to 3.4
176,2,2010-09-24,1724557.22,0,81.79,,211.2552578,8.099,Friday,Sep,2010,> 80,2.4 to 3.4
177,2,2010-10-01,1827440.43,0,69.24,,211.3298742,8.163,Friday,Oct,2010,From 60 to 80,2.4 to 3.4
178,2,2010-10-08,1849921.44,0,63.19,,211.4044906,8.163,Friday,Oct,2010,From 60 to 80,2.4 to 3.4
179,2,2010-10-15,1794355.49,0,65.8,,211.4713286,8.163,Friday,Oct,2010,From 60 to 80,2.4 to 3.4
180,2,2010-10-22,1737947.64,0,68.5,,211.5187208,8.163,Friday,Oct,2010,From 60 to 80,2.4 to 3.4
181,2,2010-10-29,1802755.11,0,66.24,,211.5661131,8.163,Friday,Oct,2010,From 60 to 80,2.4 to 3.4
182,2,2010-11-05,1939061.41,0,57.85,,211.6135053,8.163,Friday,Nov,2010,From 40 to 60,2.4 to 3.4
183,2,2010-11-12,1916812.74,0,59.69,,211.6608975,8.163,Friday,Nov,2010,From 40 to 60,2.4 to 3.4
184,2,2010-11-19,1956739.17,0,50.81,,211.5470304,8.163,Friday,Nov,2010,From 40 to 60,2.4 to 3.4
185,2,2010-11-26,2658725.29,1,62.98,,211.4062867,8.163,Friday,Nov,2010,From 60 to 80,2.4 to 3.4
186,2,2010-12-03,2015781.27,0,49.33,,211.265543,8.163,Friday,Dec,2010,From 40 to 60,2.4 to 3.4
187,2,2010-12-10,2378726.55,0,45.5,,211.1247993,8.163,Friday,Dec,2010,From 40 to 60,2.4 to 3.4
188,2,2010-12-17,2609166.75,0,47.55,,211.0645458,8.163,Friday,Dec,2010,From 40 to 60,2.4 to 3.4
190,2,2010-12-31,1750434.55,1,47.3,,211.064774,8.163,Friday,Dec,2010,From 40 to 60,2.4 to 3.4
191,2,2011-01-07,1758050.79,0,44.69,,211.0648881,8.028,Friday,Jan,2011,From 40 to 60,2.4 to 3.4
192,2,2011-01-14,1744193.58,0,33.02,,211.1176713,8.028,Friday,Jan,2011,From 20 to 40,2.4 to 3.4
193,2,2011-01-21,1751384.9,0,41.4,,211.4864691,8.028,Friday,Jan,2011,From 40 to 60,2.4 to 3.4
194,2,2011-01-28,1695371.68,0,42.83,,211.8552668,8.028,Friday,Jan,2011,From 40 to 60,2.4 to 3.4
195,2,2011-02-04,1929346.23,0,38.25,,212.2240646,8.028,Friday,Feb,2011,From 20 to 40,2.4 to 3.4
196,2,2011-02-11,2168041.61,1,33.19,,212.5928624,8.028,Friday,Feb,2011,From 20 to 40,2.4 to 3.4
197,2,2011-02-18,2080884.82,0,57.83,,212.9033115,8.028,Friday,Feb,2011,From 40 to 60,2.4 to 3.4
198,2,2011-02-25,1833511.08,0,60.8,,213.190421,8.028,Friday,Feb,2011,From 60 to 80,2.4 to 3.4
199,2,2011-03-04,1981607.78,0,57.77,,213.4775305,8.028,Friday,Mar,2011,From 40 to 60,2.4 to 3.4
200,2,2011-03-11,1879107.31,0,52.7,,213.7646401,8.028,Friday,Mar,2011,From 40 to 60,3.4 to 4.5
201,2,2011-03-18,1902557.66,0,62.32,,214.0156238,8.028,Friday,Mar,2011,From 60 to 80,3.4 to 4.5
202,2,2011-03-25,1766162.05,0,69.42,,214.2521573,8.028,Friday,Mar,2011,From 60 to 80,3.4 to 4.5
203,2,2011-04-01,1800171.36,0,55.43,,214.4886908,7.931,Friday,Apr,2011,From 40 to 60,3.4 to 4.5
204,2,2011-04-08,1847552.61,0,67.0,,214.7252242,7.931,Friday,Apr,2011,From 60 to 80,3.4 to 4.5
205,2,2011-04-15,1856467.84,0,69.48,,214.9420631,7.931,Friday,Apr,2011,From 60 to 80,3.4 to 4.5
206,2,2011-04-22,1886339.6,0,69.39,,215.1096657,7.931,Friday,Apr,2011,From 60 to 80,3.4 to 4.5
207,2,2011-04-29,1745545.28,0,69.21,,215.2772683,7.931,Friday,Apr,2011,From 60 to 80,3.4 to 4.5
208,2,2011-05-06,1837743.6,0,61.48,,215.4448709,7.931,Friday,May,2011,From 60 to 80,3.4 to 4.5
209,2,2011-05-13,1838513.07,0,74.61,,215.6124735,7.931,Friday,May,2011,From 60 to 80,3.4 to 4.5
210,2,2011-05-20,1688281.86,0,67.14,,215.3834778,7.931,Friday,May,2011,From 60 to 80,3.4 to 4.5
211,2,2011-05-27,1797732.56,0,76.42,,215.1544822,7.931,Friday,May,2011,From 60 to 80,3.4 to 4.5
212,2,2011-06-03,1933756.21,0,83.07,,214.9254865,7.931,Friday,Jun,2011,> 80,3.4 to 4.5
213,2,2011-06-10,1929153.16,0,83.4,,214.6964908,7.931,Friday,Jun,2011,> 80,3.4 to 4.5
214,2,2011-06-17,1953771.99,0,86.53,,214.6513538,7.931,Friday,Jun,2011,> 80,3.4 to 4.5
215,2,2011-06-24,1790925.8,0,85.17,,214.7441108,7.931,Friday,Jun,2011,> 80,3.4 to 4.5
216,2,2011-07-01,1866243.0,0,85.69,,214.8368678,7.852,Friday,Jul,2011,> 80,3.4 to 4.5
217,2,2011-07-08,1853161.99,0,87.7,,214.9296249,7.852,Friday,Jul,2011,> 80,3.4 to 4.5
218,2,2011-07-15,1785187.29,0,89.83,,215.0134426,7.852,Friday,Jul,2011,> 80,3.4 to 4.5
